,city,country,continent,total_score,cost_of_life,remote_workers,internet,fun,nightlife,safety,lack_of_crime,walkability,racism,foreigners_friendly,freedom_of_speech,female_friendly,LGBTQ_friendly,english_speaking,latitude,longitude,near_beach,photo
72,San Francisco,United States,North America,3.79,7094,2385.0,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,37.7790262,-122.419906,Yes,https://nomadlist.com/assets/img/places/san-francisco-ca-united-states.jpg?1642528896
73,Wellington,New Zealand,Oceania,3.82,2837,395.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,-41.2887953,174.7772114,Yes,https://nomadlist.com/assets/img/places/wellington-new-zealand.jpg?1642723266
74,Amsterdam,Netherlands,Europe,3.74,5590,2570.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,52.3727598,4.8936041,No,https://nomadlist.com/assets/img/places/amsterdam-netherlands.jpg?1643155472
75,Tampa,United States,North America,3.64,3643,344.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,27.9477595,-82.458444,Yes,https://nomadlist.com/assets/img/places/tampa-fl-united-states.jpg?1645920117
76,Thessaloniki,Greece,Europe,3.76,2110,418.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,40.6403167,22.9352716,No,https://nomadlist.com/assets/img/places/thessaloniki-greece.jpg?1650153753
77,Coimbra,Portugal,Europe,3.68,1988,276.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,40.2111931,-8.4294632,No,https://nomadlist.com/assets/img/places/coimbra-portugal.jpg?1642464163
78,Hamburg,Germany,Europe,3.7,3762,777.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,53.550341,10.000654,No,https://nomadlist.com/assets/img/places/hamburg-germany.jpg?1656201795
79,Hong Kong,Hong Kong,Asia,3.75,2422,1268.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,22.2793278,114.1628131,Yes,https://nomadlist.com/assets/img/places/hong-kong-hong-kong.jpg?1645488154
80,Portland,United States,North America,3.72,4206,756.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,45.5202471,-122.6741949,No,https://nomadlist.com/assets/img/places/portland-or-united-states.jpg?1642723300
81,Bansko,Bulgaria,Europe,3.73,1369,598.0,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Good,Good,Good,41.8344086,23.4841698,No,https://nomadlist.com/assets/img/places/bansko-bulgaria.jpg?1653004972
82,Fuerteventura,Spain,Europe,3.82,1937,399.0,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,28.40037685,-14.00486971354216,Yes,https://nomadlist.com/assets/img/places/fuerteventura-canary-islands-spain.jpg?1653091336
83,Manila,Philippines,Asia,3.74,1355,703.0,Slow,Bad,Good,Good,Good,Good,Bad,Good,Good,Bad,Bad,Good,14.5948914,120.9782618,No,https://nomadlist.com/assets/img/places/manila-philippines.jpg?1653091362
84,Vilnius,Lithuania,Europe,3.75,2118,560.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Good,54.6870458,25.2829111,No,https://nomadlist.com/assets/img/places/vilnius-lithuania.jpg?1653091410
85,Plovdiv,Bulgaria,Europe,3.7,1479,354.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,42.1418541,24.7499297,No,https://nomadlist.com/assets/img/places/plovdiv-bulgaria.jpg?1654041878
86,Portimao,Portugal,Europe,3.8,2363,308.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,37.19420955,-8.585577395168343,Yes,https://nomadlist.com/assets/img/places/portimao-portugal.jpg?1656892872
87,Dresden,Germany,Europe,3.73,2609,315.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,51.0493286,13.7381437,No,https://nomadlist.com/assets/img/places/dresden-germany.jpg?1642723285
88,Quebec City,Canada,North America,3.73,2313,291.0,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,46.8183175,-71.2143518,No,https://nomadlist.com/assets/img/places/quebec-city-canada.jpg?1642464434
89,Chicago,United States,North America,3.69,4406,1017.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,41.8755616,-87.6244212,No,https://nomadlist.com/assets/img/places/chicago-il-united-states.jpg?1653091356
90,Johannesburg,South Africa,Africa,3.68,1601,365.0,Good,Good,Bad,Good,Bad,Good,Good,Good,Good,Bad,Good,Good,-26.205,28.049722,No,https://nomadlist.com/assets/img/places/johannesburg-south-africa.jpg?1644192057
91,Davao,Philippines,Asia,3.73,1190,192.0,Slow,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,7.0648306,125.6080623,Yes,https://nomadlist.com/assets/img/places/davao-philippines.jpg?1653091398
92,Dallas,United States,North America,3.78,3139,515.0,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,32.7762719,-96.7968559,No,https://nomadlist.com/assets/img/places/dallas-tx-united-states.jpg?1645228871
93,Taghazout,Morocco,Africa,3.8,1078,316.0,Slow,Good,Bad,Good,Good,Bad,Bad,Good,Good,Good,Bad,Bad,30.544722,-9.709128,Yes,https://nomadlist.com/assets/img/places/taghazout-morocco.jpg?1642465215
94,San Miguel De Allende,Mexico,Latin America,3.68,1635,361.0,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Bad,20.9142238,-100.743784,No,https://nomadlist.com/assets/img/places/san-miguel-de-allende-mexico.jpg?1653005015
95,Dubrovnik,Croatia,Europe,3.69,2390,566.0,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Bad,Bad,Good,42.6502473,18.0924947,Yes,https://nomadlist.com/assets/img/places/dubrovnik-croatia.jpg?1642636963
96,Quito,Ecuador,Latin America,3.71,1594,374.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,-0.2201641,-78.5123274,No,https://nomadlist.com/assets/img/places/quito-ecuador.jpg?1653091345
97,Constanta,Romania,Europe,3.69,1444,228.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,44.1767161,28.6507598,Yes,https://nomadlist.com/assets/img/places/constanta-romania.jpg?1643068905
98,Tulum,Mexico,Latin America,3.82,2364,890.0,Good,Good,Good,Good,Bad,Good,Good,Bad,Good,Good,Good,Bad,20.2152358,-87.42953531439221,Yes,https://nomadlist.com/assets/img/places/tulum-mexico.jpg?1653523348
99,Puerto Escondido,Mexico,Latin America,4.0,1703,702.0,Good,Good,Good,Good,Bad,Bad,Good,Good,Bad,Good,Good,Bad,15.8693331,-97.0726428,Yes,https://nomadlist.com/assets/img/places/puerto-escondido-mexico.jpg?1643500826
100,Lima,Peru,Latin America,3.71,1078,957.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Bad,Bad,-12.0621065,-77.0365256,Yes,https://nomadlist.com/assets/img/places/lima-peru.jpg?1653004922
101,Tucson,United States,North America,3.6,2958,249.0,Good,Bad,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,32.2228765,-110.9748477,No,https://nomadlist.com/assets/img/places/tucson-az-united-states.jpg?1653005014
102,Brno,Czechia,Europe,3.71,2036,355.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,49.1922443,16.6113382,No,https://nomadlist.com/assets/img/places/brno-czechia.jpg?1656201776
103,Szczecin,Poland,Europe,3.68,1569,249.0,Good,Bad,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,53.42968095,14.59291267029227,No,https://nomadlist.com/assets/img/places/szczecin-poland.jpg?1653091391
104,Chatham,Canada,North America,3.65,1518,0.0,Good,Bad,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,42.4057219,-82.1853837,No,https://nomadlist.com/assets/img/places/chatham-canada.jpg?1642550453
105,Braga,Portugal,Europe,3.63,1852,183.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,41.5510583,-8.4280045,No,https://nomadlist.com/assets/img/places/braga-portugal.jpg?1642528917
106,Azores,Portugal,Europe,3.71,2066,294.0,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Good,37.80852735000001,-25.47308528647959,Yes,https://nomadlist.com/assets/img/places/azores-portugal.jpg?1650499322
107,Havana,Cuba,Latin America,3.64,1530,446.0,Slow,Good,Good,Good,Good,Bad,Good,Good,Bad,Good,Good,Bad,23.135305,-82.3589631,Yes,https://nomadlist.com/assets/img/places/havana-cuba.jpg?1653091408
108,El Gouna,Egypt,Middle East,3.61,2209,243.0,Slow,Good,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,27.3989266,33.6741556,Yes,https://nomadlist.com/assets/img/places/el-gouna-egypt.jpg?1653005021
109,Seville,Spain,Europe,3.65,2432,650.0,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Good,Good,Bad,37.3886303,-5.9953403,No,https://nomadlist.com/assets/img/places/seville-spain.jpg?1644710475
110,Cebu,Philippines,Asia,3.74,1304,507.0,Slow,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,10.2931062,123.9020773,Yes,https://nomadlist.com/assets/img/places/cebu-philippines.jpg?1653091377
111,Ottawa,Canada,North America,3.67,2559,345.0,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,45.3969506,-75.6851593,No,https://nomadlist.com/assets/img/places/ottawa-canada.jpg?1642528936
112,Shanghai,China,Asia,3.35,1919,674.0,Slow,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Good,31.2322758,121.4692071,Yes,https://nomadlist.com/assets/img/places/shanghai-china.jpg?1657411483
113,Queretaro,Mexico,Latin America,3.64,981,291.0,Good,Good,Bad,Good,Bad,Good,Good,Good,Bad,Good,Good,Bad,20.5927744,-100.3902245,No,https://nomadlist.com/assets/img/places/queretaro-mexico.jpg?1653005041
